aliases,code,deprecated,diagnostic_role,duplicate_replaced_by,entity_type,is_diagnosable,is_emr_writable,name,schema_version,status
"['爆发性心肌炎', 'fulminant myocarditis']",CLASS-CARD-MYOCARDITIS-CARD-FULMINANT-MYOCARDITIS,,,,DiseaseClassification,,,暴发性心肌炎,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-CF366EAA84BACA78,,,,DiseaseClassification,,,有无组织低灌注分为“冷”和“暖”型,,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-A5AB4885679C6C16,yes,,,DiseaseClassification,,,本章主要依据心律失常发生的部位、机制以及心率快慢进行综合分类,,deprecated
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-1FE11A62423F4F39,,,,DiseaseClassification,,,根据起病速度和病情危急程度可分为慢性心衰急性失代偿、急性肺水肿、心源性休克,,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-E319DCBA31FC8488,yes,,,DiseaseClassification,,,此型病情最轻,,deprecated
"['IPAH', '特发性PAH']",CLASS-CARD-PH-CARD-PH-IPAH,,,,DiseaseClassification,,,特发性肺动脉高压,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-EB4039DCBE2F8B03,,,,DiseaseClassification,,,由此可将急性心衰分为四型,,
"['诊室高血压', 'white coat hypertension']",CLASS-CARD-HT-CARD-HT-WCH,,,,DiseaseClassification,,,白大衣高血压,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-D55C8A0BE8CA104D,yes,,,DiseaseClassification,,,窦性停搏、病态窦房结综合征,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-534B24B04EEE58F3,yes,,,DiseaseClassification,,,第二节慢性心力衰竭-分类/分型,,deprecated
"['CTD-PAH', '结缔组织病相关PAH', '结缔组织病', '系统性硬化', '系统性硬化症', '硬皮病', '系统性硬化相关肺动脉高压']",CLASS-CARD-PH-CARD-PH-CTD,,,,DiseaseClassification,,,结缔组织病相关肺动脉高压,,active
"['secondary hypertension', '可明确病因的高血压']",CLASS-CARD-HT-CARD-HT-SECONDARY,,,,DiseaseClassification,,,继发性高血压,,active
['缩窄性心包炎'],CLASS-CARD-PERICARDITIS-CARD-PERICARD-CONSTRICTIVE,,,,DiseaseClassification,,,缩窄性心包炎,,active
['缺血性心肌病'],CLASS-CARD-CADREM-CCS-53D1235A0C,yes,,,DiseaseClassification,,,缺血性心肌病,V1.15,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-1461CDA7A131F777,yes,,,DiseaseClassification,,,美托洛尔、普萘洛尔、纳多洛尔、卡维地洛、比索洛尔、阿替洛尔等属此类,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-A32B65198EF00C24,yes,,,DiseaseClassification,,,美西律、苯妥英钠与利多卡因等属此类,,deprecated
"['老年人高血压', 'elderly hypertension']",CLASS-CARD-HT-CARD-HT-ELDERLY,,,,DiseaseClassification,,,老年高血压,,active
"['肾性高血压', 'renal parenchymal hypertension']",CLASS-CARD-HT-CARD-HT-RENAL-PARENCHYMAL,,,,DiseaseClassification,,,肾实质性高血压,,active
"['renovascular hypertension', '肾动脉狭窄相关高血压']",CLASS-CARD-HT-CARD-HT-RENOVASCULAR,,,,DiseaseClassification,,,肾血管性高血压,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-49567123AEB0F14D,yes,,,DiseaseClassification,,,胺碘酮、决奈达隆、索他洛尔、伊布利特、多非利特等属此类,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-C0F7A573C5D7026F,yes,,,DiseaseClassification,,,表3-3-1房颤的临床分类,,deprecated
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-11F8F205966D8060,yes,,,DiseaseClassification,,,表3-4-2不稳定型心绞痛严重程度分级（Braunwald分级）表3-4-3不稳定型心绞痛或非ST段抬高型心肌梗死的危险分层和治疗策略建议,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-B2FFCF49C66EE917,yes,,,DiseaseClassification,,,见于心内膜弹力纤维增生症、高嗜酸性粒细胞综合征、放射性损害、蒽环类药物毒性等,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-5910536FA8358CF4,yes,,,DiseaseClassification,,,近年趋向于根据发病特点和治疗原则不同分为两大类：慢性冠脉综合征（chroniccoronarysyndrome,,deprecated
"['透析患者心力衰竭', '透析患者心衰', '血液透析患者心衰', '腹膜透析患者心衰']",CLASS-CARD-HF-CARD-HF-DIALYSIS-CHF,,,,DiseaseClassification,,,透析患者慢性心力衰竭,,active
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-65721E6A565E87C6,,,,DiseaseClassification,,,通过治疗只能延缓而不能逆转心衰分期（表3-2-1）,,
"['HPAH', '遗传性PAH', '家族性肺动脉高压']",CLASS-CARD-PH-CARD-PH-HPAH,,,,DiseaseClassification,,,遗传性肺动脉高压,,active
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-778D48AA08D54825,yes,,,DiseaseClassification,,,部分可能与轻型DCM、HCM等有表型重叠,,deprecated
['PSVT'],CLASS-CARD-ARR-SVT-CARD-ARR-PSVT,,,,DiseaseClassification,,,阵发性室上性心动过速,,active
['隐匿型或无症状型冠心病'],CLASS-CARD-CADREM-CCS-631884375C,yes,,,DiseaseClassification,,,隐匿型或无症状型冠心病,V1.15,deprecated
['masked hypertension'],CLASS-CARD-HT-CARD-HT-MASKED,,,,DiseaseClassification,,,隐匿性高血压,,active
"['顽固性高血压', 'resistant hypertension']",CLASS-CARD-HT-CARD-HT-RESISTANT,,,,DiseaseClassification,,,难治性高血压,,active
"['NSTEMI', '非ST段抬高型心肌梗死']",CLASS-CARD-CAD-AMI-NSTEMI,,,,DiseaseClassification,,,非ST段抬高型心肌梗死,,active
,CLASS-CARD-CADREM-NSTEMI-6C5E8C98A0,,,,DiseaseClassification,,,非ST段抬高型心肌梗死分类要点2,V1.15,
,CLASS-CARD-CADREM-NSTEMI-6F48893A3E,,,,DiseaseClassification,,,非ST段抬高型心肌梗死分类要点6,V1.15,
"['hypertensive urgency', '无急性靶器官损害的重度高血压']",CLASS-CARD-HT-CARD-HT-URGENCY,,,,DiseaseClassification,,,高血压亚急症,,active
"['hypertensive emergency', '高血压危象伴靶器官损害']",CLASS-CARD-HT-CARD-HT-EMERGENCY,,,,DiseaseClassification,,,高血压急症,,active
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-2DDAC1A80113CE08,,,,DiseaseClassification,,,（一）临床分类1.急性左心衰竭急性发作或加重的左心室收缩力降低、负荷加重,,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-03FA6960B56D5F02,yes,,,DiseaseClassification,,,（一）冲动形成异常1.窦性心律失常,,deprecated
,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-B65BE33922EF48C1,,,,DiseaseClassification,,,（一）心力衰竭分期心衰分期全面描述了病情进展阶段,,
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-FBC8988935A6B6F5,yes,,,DiseaseClassification,,,（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-DE6B394D88B989C0,yes,,,DiseaseClassification,,,（三）按左心室射血分数分类根据左心室射血分数（leftventricularejectionfraction,,deprecated
,CARD-SKELETON-20260709-DISEASECLASSIFICATION-A7F9A023797D915C,,,,DiseaseClassification,,,（二）临床分型急性心衰根据组织的淤血和灌注情况进行分型,,
,TRICUSPID,,,,DiseaseSubcategory,,,三尖瓣疾病,V1.15,
,SUB-CARD-AORTA-PAD-GENERAL,,,,DiseaseSubcategory,,,主动脉和周围血管病,V1.4,
,AORTIC,,,,DiseaseSubcategory,,,主动脉瓣疾病,V1.15,
,MITRAL,,,,DiseaseSubcategory,,,二尖瓣疾病,V1.15,
,SUB-CARD-CAD-GENERAL,,,,DiseaseSubcategory,,,冠状动脉粥样硬化性心脏病,V1.4,
,PAH,,,,DiseaseSubcategory,,,动脉性肺动脉高压,V1.15,
,MULTI,,,,DiseaseSubcategory,,,多瓣膜病,V1.15,
,SUB-CARD-ARR-SVT,,,,DiseaseSubcategory,,,室上性快速性心律失常,V1.7,
,SUB-CARD-ARR-VA,,,,DiseaseSubcategory,,,室性心律失常谱系,V1.7,
,LEFT_HEART,,,,DiseaseSubcategory,,,左心疾病相关肺高压,V1.15,
,SUB-CARD-HF-GENERAL,,,,DiseaseSubcategory,,,心力衰竭,V1.4,
,SUB-CARD-PERICARD-GENERAL,,,,DiseaseSubcategory,,,心包疾病,V1.4,
,SUB-CARD-CM-PHENOTYPE,,,,DiseaseSubcategory,,,心室表型心肌病,V1.1,
,SUB-CARD-ARR-GENERAL,,,,DiseaseSubcategory,,,心律失常,V1.4,
,SUB-CARD-CM-ARRHYTHMIC,,,,DiseaseSubcategory,,,心律失常表型心肌病,V1.1,
,SUB-CARD-CM-ATRIAL,,,,DiseaseSubcategory,,,心房心肌病,V1.1,
,SUB-CARD-ARR-AF,,,,DiseaseSubcategory,,,心房颤动及相关房性心律失常,V1.7,
,SUB-CARD-MPIE-GENERAL,,,,DiseaseSubcategory,,,心肌炎、心包炎与感染性心内膜炎,,
,SUB-CARD-CM-GENERAL,,,,DiseaseSubcategory,,,心肌病与心肌炎,V1.4,
,SUB-CARD-VHD-GENERAL,,,,DiseaseSubcategory,,,心脏瓣膜病,V1.4,
[],SUB-CARD-ARR-SCD,,,,DiseaseSubcategory,,,心脏骤停与心脏性猝死,V1.7,
,SUB-CARD-NEUROSIS-GENERAL,,,,DiseaseSubcategory,,,心血管神经症,V1.4,
,SUB-CARD-CAD-ACS,,,,DiseaseSubcategory,,,急性冠脉综合征谱系,V1.1,
,SUB-CARD-IE-GENERAL,,,,DiseaseSubcategory,,,感染性心内膜炎,V1.4,
,SUB-CARD-CAD-CHRONIC,,,,DiseaseSubcategory,,,慢性冠脉疾病谱系,V1.1,
,CTEPH,,,,DiseaseSubcategory,,,慢性血栓栓塞性肺动脉高压,V1.15,
,SUB-CARD-CHD-GENERAL,,,,DiseaseSubcategory,,,成人先天性心血管病,V1.4,
"['AVB', 'atrioventricular block']",AVB,,,,DiseaseSubcategory,,,房室传导阻滞,V1.16,
,SUB-CARD-HF-SIDE,,,,DiseaseSubcategory,,,按受累心腔分类,V1.7,
,SUB-CARD-HF-EF,,,,DiseaseSubcategory,,,按射血分数分类,V1.7,
,SUB-CARD-HF-COURSE,,,,DiseaseSubcategory,,,按病程与失代偿状态分类,V1.7,
"['BBB', 'bundle branch block']",BBB,,,,DiseaseSubcategory,,,束支传导阻滞,V1.16,
,SUB-CARD-HF-SPECIAL,,,,DiseaseSubcategory,,,特殊人群及病因相关心力衰竭,V1.7,
,SUB-CARD-HT-SPECIAL,,,,DiseaseSubcategory,,,特殊人群和特殊类型高血压,V1.11,
,SUB-CARD-CM-SPECIAL,,,,DiseaseSubcategory,,,特殊病因及继发性心肌病,V1.1,
"['SINUS', 'sinus arrhythmia']",SINUS,,,,DiseaseSubcategory,,,窦性心律失常,V1.16,
"['SND', 'sinus node dysfunction', '病态窦房结综合征', 'SSS']",SND,,,,DiseaseSubcategory,,,窦房结功能障碍,V1.16,
,SUB-CARD-SHD-CHD-GENERAL,,,,DiseaseSubcategory,,,结构性心脏病/先天性心脏病,,
,SUB-CARD-HT-SECONDARY,,,,DiseaseSubcategory,,,继发性高血压,V1.11,
"['BRADY', 'bradyarrhythmia']",BRADY,,,,DiseaseSubcategory,,,缓慢性心律失常,V1.16,
,SUB-CARD-ARR-BRADY,,,,DiseaseSubcategory,,,缓慢性心律失常及传导阻滞,V1.7,
,PULMONARY,,,,DiseaseSubcategory,,,肺动脉瓣疾病,V1.15,
,SUB-CARD-PH-GENERAL,,,,DiseaseSubcategory,,,肺动脉高压,,
,CRISIS,,,,DiseaseSubcategory,,,肺动脉高压危象,V1.15,
,LUNG_DISEASE,,,,DiseaseSubcategory,,,肺部疾病和低氧相关肺高压,V1.15,
,SUB-CARD-LIPID-ASCVD-GENERAL,,,,DiseaseSubcategory,,,血脂异常与动脉粥样硬化防治,,
,SUB-CARD-ARR-INHERITED,,,,DiseaseSubcategory,,,遗传性原发性心律失常综合征,V1.7,
,RHEUMATIC,,,,DiseaseSubcategory,,,风湿性瓣膜病,V1.15,
,SUB-CARD-HTN-GENERAL,,,,DiseaseSubcategory,,,高血压,V1.4,
,SUB-CARD-HT-CRISIS,,,,DiseaseSubcategory,,,高血压危象,V1.11,
,SUB-CARD-HT-GENERAL,,,,DiseaseSubcategory,,,高血压常见类型,V1.11,
,CARD,,,,Specialty,,,心血管内科,V1.16,
['心血管内科'],SPEC-CARD,,,,Specialty,,,心血管内科,V1.11,
