优先级,建议疾病大类,建议解析对象,PDF相对路径,PDF文件名,大小MB,当前状态,建议动作,完整路径
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\4. 重症神经\神经重症目标温度管理中国专家共识(2022版).pdf,神经重症目标温度管理中国专家共识(2022版).pdf,1.8,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\4. 重症神经\神经重症目标温度管理中国专家共识(2022版).pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\4. 重症神经\终止癫痫持续状态发作的专家共识2022.pdf,终止癫痫持续状态发作的专家共识2022.pdf,1.03,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\4. 重症神经\终止癫痫持续状态发作的专家共识2022.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\5. 重症血液\全血和成分血使用规范.pdf,全血和成分血使用规范.pdf,0.26,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\5. 重症血液\全血和成分血使用规范.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\5. 重症血液\肝素诱导的血小板减少症中国专家共识(2017).pdf,肝素诱导的血小板减少症中国专家共识(2017).pdf,4.44,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\5. 重症血液\肝素诱导的血小板减少症中国专家共识(2017).pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\5. 重症血液\脓毒症相关的血小板减少症临床诊疗中国专家共识2023.pdf,脓毒症相关的血小板减少症临床诊疗中国专家共识2023.pdf,1.56,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\5. 重症血液\脓毒症相关的血小板减少症临床诊疗中国专家共识2023.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\5. 重症血液\重症患者凝血功能障碍标准化评估中国专家共识2022.pdf,重症患者凝血功能障碍标准化评估中国专家共识2022.pdf,1.25,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\5. 重症血液\重症患者凝血功能障碍标准化评估中国专家共识2022.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\6. 重症营养\中国 重症心血管营养专家共识（2025）.pdf,中国 重症心血管营养专家共识（2025）.pdf,1.14,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\6. 重症营养\中国 重症心血管营养专家共识（2025）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\6. 重症营养\中国专家共识：危重患者人血白蛋白应用2020.pdf,中国专家共识：危重患者人血白蛋白应用2020.pdf,0.26,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\6. 重症营养\中国专家共识：危重患者人血白蛋白应用2020.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\6. 重症营养\中国急诊危重症患者肠内营养治疗专家共识2022.pdf,中国急诊危重症患者肠内营养治疗专家共识2022.pdf,2.65,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\6. 重症营养\中国急诊危重症患者肠内营养治疗专家共识2022.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\6. 重症营养\中国成人心脏外科围手术期营养支持治疗专家共识（2019）.pdf,中国成人心脏外科围手术期营养支持治疗专家共识（2019）.pdf,1.28,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\6. 重症营养\中国成人心脏外科围手术期营养支持治疗专家共识（2019）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\6. 重症营养\中国成人患者肠外肠内营养临床应用指南（2023版）.pdf,中国成人患者肠外肠内营养临床应用指南（2023版）.pdf,4.34,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\6. 重症营养\中国成人患者肠外肠内营养临床应用指南（2023版）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\6. 重症营养\中国重症患者肠外营养治疗临床实践专家共识（2024）.pdf,中国重症患者肠外营养治疗临床实践专家共识（2024）.pdf,1.89,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\6. 重症营养\中国重症患者肠外营养治疗临床实践专家共识（2024）.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\7. 重症感染\【用药助手】中国成人医院获得性肺炎与呼吸机相关性肺炎诊断和治疗指南(2018年版).pdf,【用药助手】中国成人医院获得性肺炎与呼吸机相关性肺炎诊断和治疗指南(2018年版).pdf,2.49,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\7. 重症感染\【用药助手】中国成人医院获得性肺炎与呼吸机相关性肺炎诊断和治疗指南(2018年版).pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\7. 重症感染\中国急诊感染性休克临床实践指南2016.pdf,中国急诊感染性休克临床实践指南2016.pdf,2.22,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\7. 重症感染\中国急诊感染性休克临床实践指南2016.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\7. 重症感染\中国脓毒症脓毒性休克急诊治疗指南2018.pdf,中国脓毒症脓毒性休克急诊治疗指南2018.pdf,1.27,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\7. 重症感染\中国脓毒症脓毒性休克急诊治疗指南2018.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\7. 重症感染\血管导管相关感染预防与控制指南2021.pdf,血管导管相关感染预防与控制指南2021.pdf,0.18,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\7. 重症感染\血管导管相关感染预防与控制指南2021.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\8. 镇静镇痛\中国急诊成人镇痛、镇静与谵妄管理专家共识2023.pdf,中国急诊成人镇痛、镇静与谵妄管理专家共识2023.pdf,3.13,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\8. 镇静镇痛\中国急诊成人镇痛、镇静与谵妄管理专家共识2023.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\8. 镇静镇痛\中国成人重症患者镇痛管理专家共识2023.pdf,中国成人重症患者镇痛管理专家共识2023.pdf,1.41,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\8. 镇静镇痛\中国成人重症患者镇痛管理专家共识2023.pdf
P2,心脏重症/急症/胸痛中心,胸痛、心源性休克、心肺复苏、重症并发症,重症指南\9. 心脏移植\中国心脏移植免疫抑制治疗及排斥反应诊疗规范(2019版).pdf,中国心脏移植免疫抑制治疗及排斥反应诊疗规范(2019版).pdf,0.24,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\9. 心脏移植\中国心脏移植免疫抑制治疗及排斥反应诊疗规范(2019版).pdf
P2,肺动脉高压补充,肺动脉高压、肺高压、CTEPH,肺血管疾病\中国 肺动脉高压诊断与治疗指南（2021版）.pdf,中国 肺动脉高压诊断与治疗指南（2021版）.pdf,1.52,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\肺血管疾病\中国 肺动脉高压诊断与治疗指南（2021版）.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,PE ESC 2019.pdf,PE ESC 2019.pdf,2.12,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\PE ESC 2019.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,厦心-护理\6. 成人住院患者静脉血栓栓塞症的预防护理（2023-5-1实施）.pdf,6. 成人住院患者静脉血栓栓塞症的预防护理（2023-5-1实施）.pdf,0.41,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\6. 成人住院患者静脉血栓栓塞症的预防护理（2023-5-1实施）.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,厦心-护理\下肢深静脉血栓形成介入治疗护理实践指南.pdf,下肢深静脉血栓形成介入治疗护理实践指南.pdf,1.33,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\下肢深静脉血栓形成介入治疗护理实践指南.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,厦心-护理\住院患者静脉血栓栓塞症预防护理与管理专家共识_植艳茹.pdf,住院患者静脉血栓栓塞症预防护理与管理专家共识_植艳茹.pdf,0.23,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\住院患者静脉血栓栓塞症预防护理与管理专家共识_植艳茹.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,厦心-护理\老年人静脉血栓栓塞症防治中国专家共识_吴洲鹏.pdf,老年人静脉血栓栓塞症防治中国专家共识_吴洲鹏.pdf,1.86,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\老年人静脉血栓栓塞症防治中国专家共识_吴洲鹏.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,厦心-护理\高龄卧床高危静脉血栓栓塞症防治中国专家共识.pdf,高龄卧床高危静脉血栓栓塞症防治中国专家共识.pdf,0.48,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\高龄卧床高危静脉血栓栓塞症防治中国专家共识.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,抗血栓药物围手术期管理多学科专家共识2020.pdf,抗血栓药物围手术期管理多学科专家共识2020.pdf,0.76,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\抗血栓药物围手术期管理多学科专家共识2020.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,重症指南\3. 重症消化\下消化道出血诊治指南2020.pdf,下消化道出血诊治指南2020.pdf,1.54,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\3. 重症消化\下消化道出血诊治指南2020.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,重症指南\3. 重症消化\急诊上消化道出血急诊诊治流程专家共识2021.pdf,急诊上消化道出血急诊诊治流程专家共识2021.pdf,1.99,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\3. 重症消化\急诊上消化道出血急诊诊治流程专家共识2021.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,重症指南\5. 重症血液\中国抗血栓药物相关出血诊疗规范专家共识2022.pdf,中国抗血栓药物相关出血诊疗规范专家共识2022.pdf,1.14,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\5. 重症血液\中国抗血栓药物相关出血诊疗规范专家共识2022.pdf
P2,血栓栓塞/抗栓/静脉血栓,VTE、PE、抗凝、围术期抗栓、出血处理,重症指南\5. 重症血液\抗血栓药物围手术期管理多学科专家共识2020.pdf,抗血栓药物围手术期管理多学科专家共识2020.pdf,0.76,未在已登记批次中作为 included 来源使用,新建/补充批次解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\5. 重症血液\抗血栓药物围手术期管理多学科专家共识2020.pdf
P3,肿瘤心脏病/特殊人群,肿瘤心脏病、妊娠、老年、围术期,围术期管理\_中国 普通外科围手术期病人血液管理中国专家共识（2025）.pdf,_中国 普通外科围手术期病人血液管理中国专家共识（2025）.pdf,1.44,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理\_中国 普通外科围手术期病人血液管理中国专家共识（2025）.pdf
P3,肿瘤心脏病/特殊人群,肿瘤心脏病、妊娠、老年、围术期,围术期管理\【用药助手】2015年抗菌药物临床应用指导原则.pdf,【用药助手】2015年抗菌药物临床应用指导原则.pdf,0.71,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理\【用药助手】2015年抗菌药物临床应用指导原则.pdf
P3,肿瘤心脏病/特殊人群,肿瘤心脏病、妊娠、老年、围术期,围术期管理\中国 围手术期患者血液管理指南 WST 796-2022.pdf,中国 围手术期患者血液管理指南 WST 796-2022.pdf,0.23,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理\中国 围手术期患者血液管理指南 WST 796-2022.pdf
P3,肿瘤心脏病/特殊人群,肿瘤心脏病、妊娠、老年、围术期,围术期管理\心脏手术白蛋白使用专家共识 2022.pdf,心脏手术白蛋白使用专家共识 2022.pdf,0.28,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\围术期管理\心脏手术白蛋白使用专家共识 2022.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,2_中国心肌病综合管理指南2025.pdf,2_中国心肌病综合管理指南2025.pdf,1.83,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,SYNCOPE\SYNCOPE CN 2018.pdf,SYNCOPE CN 2018.pdf,0.77,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\SYNCOPE\SYNCOPE CN 2018.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,SYNCOPE\SYNCOPE ESC 2018.pdf,SYNCOPE ESC 2018.pdf,3.64,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\SYNCOPE\SYNCOPE ESC 2018.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,全国医疗质量数据\2024 年中国心血管病医疗质量概述【数据汇总】.pdf,2024 年中国心血管病医疗质量概述【数据汇总】.pdf,1.05,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\全国医疗质量数据\2024 年中国心血管病医疗质量概述【数据汇总】.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,全国医疗质量数据\中国心血管健康与疾病报告 2024 概要【数据汇总】.pdf,中国心血管健康与疾病报告 2024 概要【数据汇总】.pdf,1.17,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\全国医疗质量数据\中国心血管健康与疾病报告 2024 概要【数据汇总】.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,全国医疗质量数据\中国心血管健康与疾病报告(2023)【数据汇总】.pdf,中国心血管健康与疾病报告(2023)【数据汇总】.pdf,13.37,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\全国医疗质量数据\中国心血管健康与疾病报告(2023)【数据汇总】.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,厦心-护理\2.厦门大学附属心血管病医院专科护理常规(1).pdf,2.厦门大学附属心血管病医院专科护理常规(1).pdf,1.95,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\厦心-护理\2.厦门大学附属心血管病医院专科护理常规(1).pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,心肌病\2_中国心肌病综合管理指南2025.pdf,2_中国心肌病综合管理指南2025.pdf,1.83,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\2_中国心肌病综合管理指南2025.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,心肌病\HCM\HCM CN 2023.pdf,HCM CN 2023.pdf,1.19,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM CN 2023.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,心肌病\中国 心肌病综合管理指南（2025年）.pdf,中国 心肌病综合管理指南（2025年）.pdf,1.83,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 心肌病综合管理指南（2025年）.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,心血管疾病合并甲状腺功能异常临床诊治专家共识.pdf,心血管疾病合并甲状腺功能异常临床诊治专家共识.pdf,2.36,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心血管疾病合并甲状腺功能异常临床诊治专家共识.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,感染性疾病\【用药助手】2024 IDSA指南：抗菌素耐药革兰氏阴性菌感染的治疗.pdf,【用药助手】2024 IDSA指南：抗菌素耐药革兰氏阴性菌感染的治疗.pdf,1.64,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性疾病\【用药助手】2024 IDSA指南：抗菌素耐药革兰氏阴性菌感染的治疗.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,感染性疾病\【用药助手】2025 ATS官方临床实践指南：社区获得性肺炎的诊断与治疗.pdf,【用药助手】2025 ATS官方临床实践指南：社区获得性肺炎的诊断与治疗.pdf,1.74,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性疾病\【用药助手】2025 ATS官方临床实践指南：社区获得性肺炎的诊断与治疗.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,感染性疾病\【用药助手】中国慢性胆囊炎、胆囊结石内科诊疗共识意见(2018年).pdf,【用药助手】中国慢性胆囊炎、胆囊结石内科诊疗共识意见(2018年).pdf,0.84,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性疾病\【用药助手】中国慢性胆囊炎、胆囊结石内科诊疗共识意见(2018年).pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,感染性疾病\【用药助手】尿路感染诊断与治疗中国专家共识(2015版)——复杂性尿路感染.pdf,【用药助手】尿路感染诊断与治疗中国专家共识(2015版)——复杂性尿路感染.pdf,0.62,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性疾病\【用药助手】尿路感染诊断与治疗中国专家共识(2015版)——复杂性尿路感染.pdf
P4,其他待人工判读,需人工确认是否属于心血管专科或护理/重症横向知识,感染性疾病\药效学理论临床应用专家共识.pdf,药效学理论临床应用专家共识.pdf,4.18,未在已登记批次中作为 included 来源使用,人工确认后再解析,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性疾病\药效学理论临床应用专家共识.pdf
