问题类型,实体类型,期望字典表,图谱编码,图谱名称,当前状态,处理要求
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,IND-CARD-AMI-LAB-A07CEA5883A7,中性粒细胞增多,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,LAB-CARD-9BAE7B9210AE,尿白蛋白/肌酐比值,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,LABIND-EXAM-HT-CKD-EGFR-UACR-尿白蛋白肌酐比值,尿白蛋白肌酐比值,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,IND-CARD-LAB-BLOOD-CULTURE-RESULT,血培养结果,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,LabSubitem,K_LAB_SUBITEM_DICT,LAB-CARD-91796AAB61B0,醛固酮/肾素比值,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-STEMI-4A580733386B,上腹胀痛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-STEMI-9B7354934FF5,下颌颈背部放射痛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-AAA-ATTRIBUTABLE-SYMPTOMS,与动脉瘤相关症状,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-STEMI-436709160213,呃逆,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-AECE358B7FF2,放射痛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-80A8947D5A71,濒死感,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-0FE1D08FA915,突发突止心动过速,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-3BE3BC2866C6,突发胸背部撕裂样疼痛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CDSS-Z100136,背痛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CDSS-Z103045,胸痛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CDSS-Z100634,腹痛,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CDSS-Z101326,间歇性跛行,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Symptom,K_SYMPTOM_DICT,SYM-CARD-F655A47C2B62,黑矇,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-PAD-PULSE-WOUND-GANGRENE,下肢脉搏异常、伤口不愈合或坏疽,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-1CAB37674011,先天性心脏病体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-BCE0C13CAEF5,动脉导管未闭体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-F215CD2C6184,卵圆孔未闭体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-E3B404FFF957,多瓣膜病体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-CM-AMYLOID-LVH-LOW-VOLTAGE,室壁增厚与心电低电压不匹配,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-CM-ACM-VENTRICULAR-ARRHYTHMIA,室性心律失常表现,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-B6A5F5A925FF,室间隔缺损体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-87E6A7F32565,左心室肥厚,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-8D884A9CED51,心功能不全,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-E826AD0DF329,心肌炎体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-86F5BDED564F,心脏瓣膜病体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-42C51CA09C2F,房间隔缺损体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-C9C78F04261F,暴发性心肌炎体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-62E55BA7DADE,束支传导阻滞体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-REQ-555D4E5CFAA7,短QT间期综合征相关临床体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-F10C32C93E92,窦房结功能障碍体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-DB1CC6A9B67B,肺动脉瓣狭窄体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-1431D67A6000,肺水肿,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-8F15AA48D767,肺淤血,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-667CA8B6F7D8,胸腔积液,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-AAS-PULSE-BP-DIFFERENTIAL,脉搏缺失或双上肢收缩压差,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-70CCDF26928B,腹主动脉瘤体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-2772E689A2C1,血脂异常体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-74FB701F06FE,靶器官损害,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-C783F0B34669,风湿性心脏瓣膜病体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,Sign,K_CLINICAL_SIGN_DICT,SIGN-CARD-47494ECB7569,高胆固醇血症体征,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-INR-ABNORMAL,INR异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-STEMI-D6A001366BC3,ST段持续抬高提示室壁瘤,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-STEMI-17801B3D7472,V1至V5导联QS型提示前壁梗死,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-STEMI-0A05978707AA,Ⅱ、Ⅲ、aVF导联ST段抬高提示下壁梗死,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-AMI-LAB-4F371E5141D0,低密度脂蛋白胆固醇升高,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-COAGULATION-ABNORMAL,凝血功能异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-ABG-ABNORMAL,动脉血气异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-F90926124AEA,发病时间,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-AMI-LAB-027A760481F7,嗜酸性粒细胞减少或消失,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-EXAM-GENETIC-家族遗传证据,家族遗传证据,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-HT-LAB-UACR-ABNORMAL,尿白蛋白/肌酐比值异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-EXAM-TTE-左室射血分数,左室射血分数,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-EXAM-CARD-09DFFB573658-延迟钆增强,延迟钆增强,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-FREE-FATTY-ACID-HIGH,游离脂肪酸升高,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-THYROID-FUNCTION-ABNORMAL,甲状腺功能异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-ELECTROLYTE-ABNORMAL,电解质异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-EXAM-EMB-病原体证据,病原体证据,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-HT-LAB-FPG-ABNORMAL,空腹血糖异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-AMI-LAB-0E23D936276F,肌红蛋白升高,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-AMI-LAB-68AAB9D88BA4,肌酸激酶升高,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-AMI-LAB-0FC93EB091FE,肌酸激酶同工酶升高,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-LIVER-FUNCTION-ABNORMAL,肝功能异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-HT-LAB-URIC-ACID-ELEVATED,血尿酸升高,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-GLUCOSE-ABNORMAL,血糖异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-HT-LAB-CREATININE-ABNORMAL,血肌酐异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-LIPID-ABNORMAL,血脂异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-POTASSIUM-ABNORMAL,血钾异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-LAB-MAGNESIUM-ABNORMAL,血镁异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,ExamObservation,K_EXAM_OBSERVATION_DICT,IND-CARD-HT-LAB-ARR-ABNORMAL,醛固酮/肾素比值异常,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-7FE0AC763703,Valsalva动作,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-99A6FF1BEB35,危险因素管理,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TREAT-CARD-HT-LIFESTYLE-DIET,合理膳食,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TRT-CARD-TBAD-OPEN-SURGICAL-REPAIR,开放手术修复策略,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TRT-CARD-NEUROSIS-PSYCHOTHERAPY,心理与行为干预,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TREAT-CARD-HT-LIFESTYLE-STRESS,心理平衡,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TREAT-CARD-HT-LIFESTYLE-SMOKE-ALCOHOL,戒烟限酒,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TREAT-CARD-HT-LIFESTYLE-WEIGHT,控制体重,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROCEDURE-CARD-B80BBDCAFB42,支持治疗,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TRT-CARD-TBAD-BEST-MEDICAL-THERAPY,最佳药物治疗,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROCEDURE-CARD-A42A92C815BB,机械循环支持,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-F1B0B84C6369,氧疗,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-DA0F467D4A30,溶栓治疗,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROCEDURE-CARD-ECB15F64C1CD,生命支持治疗,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-132F7104A781,生活方式干预,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-AVB1-CAUSE-TREATMENT,病因治疗,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TRT-CARD-CORRECT-REVERSIBLE-CAUSES,纠正可逆诱因,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,CARD-SKELETON-FULL-20260709-PROCEDURE-4C5D8A1DB3120DB9,肺移植同时修补心脏缺损,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TREAT-CARD-HT-LIFESTYLE-EXERCISE,规律运动,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-F25D5945465C,起搏器程控,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,TREAT-CARD-HT-LIFESTYLE-SALT,限制钠盐摄入,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
仅知识展示未绑定标准字典,TreatmentItem,K_TREATMENT_DICT,PROC-CARD-B13C58DD2614,颈动脉窦按摩,knowledge_only,不进入正式CDSS推荐或回填；后续应改为类别/知识节点，或下钻到具体标准字典项目。
