实体类型,实体名称,原编码,最终主编码,处理方式,原节点元素ID,主节点元素ID
ExamIndicator,钙化,"[""IND-EXAM-CARD-F6AAC5622DEA-钙化"", ""IND-CARD-SKELETON-20260709-EXAM-4974BA875B54084B-钙化"", ""IND-EXAM-CARD-TEXT-9A031190AE-钙化""]",IND-EXAM-CARD-F6AAC5622DEA-钙化,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36213,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:36213
Procedure,经导管主动脉瓣置换术,"[""PROC-CARD-TEXT-53ECAA23AE"", ""PROC-CARD-B8BE09194D42""]",PROC-CARD-TEXT-53ECAA23AE,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25696,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25696
Procedure,经皮球囊二尖瓣成形术,"[""PROC-PBMV"", ""PROC-CARD-74A1F415EBD2""]",PROC-PBMV,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46984,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46984
Procedure,经皮球囊肺动脉瓣成形术,"[""PROC-CARD-5558D37982AF"", ""PROC-CARD-B4FC5ED6A1F7""]",PROC-CARD-5558D37982AF,归并到已有主节点,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:46980,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:56532
RiskFactor,ST段偏移,"[""RISKCOMP-RISK-CARD-9566F1411AE9-ST段偏移"", ""RISKCOMP-RISK-CARD-638FD4C2210F-ST段偏移""]",RISKCOMP-RISK-CARD-9566F1411AE9-ST段偏移,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43450,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43450
RiskFactor,吸烟,"[""RF-CARD-C5097AF85131"", ""RISKCOMP-RISK-CARD-7A36CE5B521B-吸烟""]",RF-CARD-C5097AF85131,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25728,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25728
RiskFactor,女性,"[""RISKCOMP-RISK-CARD-BD6FBD0D2712-女性"", ""RISKCOMP-RISK-CARD-7A36CE5B521B-女性""]",RISKCOMP-RISK-CARD-BD6FBD0D2712-女性,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43467,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43467
RiskFactor,年龄,"[""RF-CARD-CADREM-UA-D06E58C8BA"", ""RISKCOMP-RISK-CARD-9566F1411AE9-年龄"", ""RISKCOMP-RISK-CARD-638FD4C2210F-年龄""]",RF-CARD-CADREM-UA-D06E58C8BA,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43533,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43533
RiskFactor,心肌损伤标志物升高,"[""RISKCOMP-RISK-CARD-638FD4C2210F-心肌损伤标志物升高"", ""RISKCOMP-RISK-CARD-9566F1411AE9-心肌损伤标志物升高""]",RISKCOMP-RISK-CARD-9566F1411AE9-心肌损伤标志物升高,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43452,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:43452
RiskFactor,糖尿病,"[""RF-CARD-26FAEB71ABE2"", ""RISKCOMP-RISK-CARD-BD6FBD0D2712-糖尿病""]",RF-CARD-26FAEB71ABE2,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25725,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25725
RiskFactor,高血压,"[""RF-CARD-DE0A9F1FE2C8"", ""RISKCOMP-RISK-CARD-BD6FBD0D2712-高血压"", ""RISKCOMP-RISK-CARD-E21D88A4688D-高血压""]",RF-CARD-DE0A9F1FE2C8,原节点编码标量化,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25729,4:96d33a16-3d9f-4d2c-809b-20d1b37db684:25729
