疾病,疾病编码,治疗方案,治疗方案编码,是否已标记非正式推荐入口,使用范围,正式推荐入口要求
心脏骤停,DIS-CARD-SCD-ARREST,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏骤停,DIS-CARD-SCD-ARREST,心脏骤停治疗方案,PLAN-CARD-D0001FDBBA7E,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏骤停,DIS-CARD-SCD-ARREST,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏骤停,DIS-CARD-SCD-ARREST,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏骤停,DIS-CARD-SCD-ARREST,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
心脏骤停,DIS-CARD-SCD-ARREST,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
心血管神经症,DIS-CARD-NEUROSIS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,再灌注治疗,PLAN-CARD-3972CBC8228B,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,急性冠脉综合征治疗方案,PLAN-CARD-16BF65CB29FE,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性冠脉综合征,DIS-CARD-CAD-ACS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心力衰竭,DIS-CARD-HF-AHF,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭治疗方案,PLAN-CARD-8DE84AB1F5CB,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心力衰竭,DIS-CARD-HF-AHF,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心力衰竭,DIS-CARD-HF-AHF,控制心室率,PLAN-CARD-TEXT-655F4B37BC,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,再灌注治疗,PLAN-CARD-3972CBC8228B,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,急性心肌梗死治疗方案,PLAN-CARD-83DC54FD93C2,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
急性心肌梗死,DIS-CARD-CAD-AMI,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,感染性心内膜炎治疗方案,PLAN-CARD-369B4EDD8267,True,knowledge_explore_only,RecommendationStatement->recommends_action
感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
感染性心内膜炎,DIS-CARD-INFECTIVE-ENDOCARDITIS,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
慢性冠脉综合征,DIS-CARD-CAD-CCS,慢性冠脉综合征治疗方案,PLAN-CARD-89D4C114E515,True,knowledge_explore_only,RecommendationStatement->recommends_action
慢性冠脉综合征,DIS-CARD-CAD-CCS,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
慢性冠脉综合征,DIS-CARD-CAD-CCS,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
慢性心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭治疗方案,PLAN-CARD-CDCF4B5B8556,True,knowledge_explore_only,RecommendationStatement->recommends_action
慢性心力衰竭,DIS-CARD-HF-CHF,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
慢性肾脏病合并高血压,DIS-CARD-HT-CKD,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
慢性血栓栓塞性肺动脉高压,DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压治疗方案,PLAN-CARD-1060AA354C61,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室传导阻滞,DIS-CARD-ARR-AVB,也可见于电解质紊乱（如高钾血症）、药物中毒（如洋地黄中毒）及心脏手术损伤（心脏瓣膜手术、导管消融术等）,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-D355EC5DA6033AF6,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室传导阻滞,DIS-CARD-ARR-AVB,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室传导阻滞,DIS-CARD-ARR-AVB,心房和心室的节律由各自独立的起搏点控制,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-F0FFE784C9505FA2,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室传导阻滞,DIS-CARD-ARR-AVB,房室传导阻滞治疗方案,PLAN-CARD-4902C4C10300,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室传导阻滞,DIS-CARD-ARR-AVB,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室传导阻滞,DIS-CARD-ARR-AVB,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室传导阻滞,DIS-CARD-ARR-AVB,起搏治疗,PLAN-CARD-F7FB7035330D,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室折返性心动过速,DIS-CARD-ARR-AVRT,同步电复律,PLAN-CARD-108E680ADD4F,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室折返性心动过速,DIS-CARD-ARR-AVRT,导管消融,PLAN-CARD-5C9E41087192,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室折返性心动过速,DIS-CARD-ARR-AVRT,房室折返性心动过速治疗方案,PLAN-CARD-344A32B0714D,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室折返性心动过速,DIS-CARD-ARR-AVRT,药物转复,PLAN-CARD-64B52A7B760E,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室折返性心动过速,DIS-CARD-ARR-AVRT,迷走神经刺激,PLAN-CARD-741F70867FDD,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,同步电复律,PLAN-CARD-108E680ADD4F,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,导管消融,PLAN-CARD-5C9E41087192,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,房室结折返性心动过速治疗方案,PLAN-CARD-8EAEE6E3A5AC,True,knowledge_explore_only,RecommendationStatement->recommends_action
房室结折返性心动过速,DIS-CARD-ARR-AVNRT,迷走神经刺激,PLAN-CARD-741F70867FDD,True,knowledge_explore_only,RecommendationStatement->recommends_action
房性心动过速,DIS-CARD-ARR-AT,同步电复律,PLAN-CARD-108E680ADD4F,True,knowledge_explore_only,RecommendationStatement->recommends_action
房性心动过速,DIS-CARD-ARR-AT,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
房性心动过速,DIS-CARD-ARR-AT,导管消融,PLAN-CARD-5C9E41087192,True,knowledge_explore_only,RecommendationStatement->recommends_action
房性心动过速,DIS-CARD-ARR-AT,房性心动过速治疗方案,PLAN-CARD-6C7D6A045FA6,True,knowledge_explore_only,RecommendationStatement->recommends_action
房性心动过速,DIS-CARD-ARR-AT,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
房间隔缺损,DIS-CARD-ASD,房间隔缺损治疗方案,PLAN-CARD-8DBA8EC7FD95,True,knowledge_explore_only,RecommendationStatement->recommends_action
房间隔缺损,DIS-CARD-ASD,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
扩张型心肌病,DIS-CARD-CM-DCM,扩张型心肌病治疗方案,PLAN-CARD-EF123C1AB63F,True,knowledge_explore_only,RecommendationStatement->recommends_action
扩张型心肌病,DIS-CARD-CM-DCM,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
扩张型心肌病,DIS-CARD-CM-DCM,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,射频消融治疗,PLAN-CARD-8D7FDE84DC07,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,持续性室性心动过速治疗方案,PLAN-CARD-47613024D1C5,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
持续性室性心动过速,DIS-CARD-ARR-VT,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
暴发性心肌炎,DIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎治疗方案,PLAN-CARD-6411F76AB98D,True,knowledge_explore_only,RecommendationStatement->recommends_action
束支传导阻滞,DIS-CARD-ARR-BBB,束支传导阻滞治疗方案,PLAN-CARD-00B9C7D70BD9,True,knowledge_explore_only,RecommendationStatement->recommends_action
法布雷病心肌病,DIS-CARD-CM-FABRY,法布雷病心肌病治疗方案,PLAN-CARD-D8661B4FB4B1,True,knowledge_explore_only,RecommendationStatement->recommends_action
淀粉样变心肌病,DIS-CARD-CM-AMYLOID,淀粉样变心肌病治疗方案,PLAN-CARD-BE44DFBB5552,True,knowledge_explore_only,RecommendationStatement->recommends_action
特发性肺动脉高压,DIS-CARD-PH-IPAH,特发性肺动脉高压治疗方案,PLAN-CARD-E1D61826F7A4,True,knowledge_explore_only,RecommendationStatement->recommends_action
白大衣高血压,DIS-CARD-HT-WCH,生活方式干预,PLAN-CARD-2081B78ED14D,True,knowledge_explore_only,RecommendationStatement->recommends_action
白大衣高血压,DIS-CARD-HT-WCH,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
短QT间期综合征,DIS-CARD-ARR-SQTS,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
短QT间期综合征,DIS-CARD-ARR-SQTS,短QT间期综合征治疗方案,PLAN-CARD-C1B0D29171C8,True,knowledge_explore_only,RecommendationStatement->recommends_action
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛治疗方案,PLAN-CARD-DDD036288AF3,True,knowledge_explore_only,RecommendationStatement->recommends_action
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
稳定型心绞痛,DIS-CARD-CAD-STABLE-ANGINA,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,下位的潜在起搏点,CARD-SKELETON-20260709-TREATMENTPLAN-BFCF60272E5E8F9F,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,以及应用拟胆碱药物、胺碘酮、β受体拮抗剂、非二氢吡啶类钙通道阻滞剂或洋地黄类等药物,CARD-SKELETON-20260709-TREATMENTPLAN-644453136DFD38E2,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,可应用阿托品或异丙肾上腺素等药物,CARD-SKELETON-20260709-TREATMENTPLAN-03F69ADBD8DD8ACB,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,应用洋地黄类药物、乙酰胆碱等亦可引起窦性停搏,CARD-SKELETON-20260709-TREATMENTPLAN-788A4C55AED14161,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,故应考虑心脏起搏治疗,CARD-SKELETON-20260709-TREATMENTPLAN-B7A5660A87DD1BA2,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,无症状的窦性心动过缓通常无需治疗,CARD-SKELETON-20260709-TREATMENTPLAN-F3121EC03152AC77,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,治疗可参照病态窦房结综合征,CARD-SKELETON-20260709-TREATMENTPLAN-9FCAC418A06FE88B,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,窦性心动过缓治疗方案,PLAN-CARD-84E0BB8F1329,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦性心动过缓,DIS-CARD-ARR-SB,起搏治疗,PLAN-CARD-F7FB7035330D,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦房传导阻滞,DIS-CARD-ARR-SAB,窦房传导阻滞治疗方案,PLAN-CARD-B809AAF4889D,True,knowledge_explore_only,RecommendationStatement->recommends_action
窦房结功能障碍,DIS-CARD-ARR-SND,窦房结功能障碍治疗方案,PLAN-CARD-26AF9C4155B7,True,knowledge_explore_only,RecommendationStatement->recommends_action
结缔组织病相关肺动脉高压,DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压治疗方案,PLAN-CARD-40F9E43F6780,True,knowledge_explore_only,RecommendationStatement->recommends_action
继发性高血压,DIS-CARD-HT-SECONDARY,生活方式干预,PLAN-CARD-2081B78ED14D,True,knowledge_explore_only,RecommendationStatement->recommends_action
继发性高血压,DIS-CARD-HT-SECONDARY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,True,knowledge_explore_only,RecommendationStatement->recommends_action
继发性高血压,DIS-CARD-HT-SECONDARY,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
继发性高血压,DIS-CARD-HT-SECONDARY,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
缓慢性心律失常,DIS-CARD-ARR-BRADY,缓慢性心律失常治疗方案,PLAN-CARD-D48B04D85208,True,knowledge_explore_only,RecommendationStatement->recommends_action
缓慢性心律失常,DIS-CARD-ARR-BRADY,起搏治疗,PLAN-CARD-F7FB7035330D,True,knowledge_explore_only,RecommendationStatement->recommends_action
缩窄性心包炎,DIS-CARD-PERICARD-CONSTRICTIVE,【临床表现】1.症状病人常有心包炎、心包积液、恶性肿瘤、胸部放射性治疗和胸心外科手术等病史,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-D7A188C9B6C12EF5,True,knowledge_explore_only,RecommendationStatement->recommends_action
缩窄性心包炎,DIS-CARD-PERICARD-CONSTRICTIVE,其他病因包括恶性肿瘤、结缔组织病、尿毒症、药物等,CARD-SKELETON-FULL-20260709-TREATMENTPLAN-542F49CC6D03259B,True,knowledge_explore_only,RecommendationStatement->recommends_action
缺血性心肌病,DIS-CARD-CAD-ICM,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
缺血性心肌病,DIS-CARD-CAD-ICM,缺血性心肌病治疗方案,PLAN-CARD-260280003FF2,True,knowledge_explore_only,RecommendationStatement->recommends_action
缺血性心肌病,DIS-CARD-CAD-ICM,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
缺血性心肌病,DIS-CARD-CAD-ICM,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
老年高血压,DIS-CARD-HT-ELDERLY,生活方式干预,PLAN-CARD-2081B78ED14D,True,knowledge_explore_only,RecommendationStatement->recommends_action
老年高血压,DIS-CARD-HT-ELDERLY,联合降压治疗,PLAN-CARD-0CDCF256C0E6,True,knowledge_explore_only,RecommendationStatement->recommends_action
老年高血压,DIS-CARD-HT-ELDERLY,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
肥厚型心肌病,DIS-CARD-CM-HCM,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
肥厚型心肌病,DIS-CARD-CM-HCM,肥厚型心肌病治疗方案,PLAN-CARD-C73CCA666CCA,True,knowledge_explore_only,RecommendationStatement->recommends_action
肺动脉瓣狭窄,DIS-CARD-VHD-PS,肺动脉瓣狭窄治疗方案,PLAN-CARD-61874F4A9AFC,True,knowledge_explore_only,RecommendationStatement->recommends_action
肺动脉高压,DIS-CARD-PH,肺动脉高压治疗方案,PLAN-CARD-1D60B211E01D,True,knowledge_explore_only,RecommendationStatement->recommends_action
肾实质性高血压,DIS-CARD-HT-RENAL-PARENCHYMAL,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,联合降压治疗,PLAN-CARD-0CDCF256C0E6,True,knowledge_explore_only,RecommendationStatement->recommends_action
肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
肾血管性高血压,DIS-CARD-HT-RENOVASCULAR,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
腹主动脉瘤,DIS-CARD-AAA,腹主动脉瘤治疗方案,PLAN-CARD-8C96E4CC9AE6,True,knowledge_explore_only,RecommendationStatement->recommends_action
致心律失常性双心室心肌病,DIS-CARD-CM-ABVC,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
致心律失常性双心室心肌病,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病治疗方案,PLAN-CARD-75D805FA2D42,True,knowledge_explore_only,RecommendationStatement->recommends_action
致心律失常性右心室心肌病,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病治疗方案,PLAN-CARD-A998492DDF0E,True,knowledge_explore_only,RecommendationStatement->recommends_action
致心律失常性左心室心肌病,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病治疗方案,PLAN-CARD-501677A0810C,True,knowledge_explore_only,RecommendationStatement->recommends_action
致心律失常性心肌病,DIS-CARD-CM-ACM,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
致心律失常性心肌病,DIS-CARD-CM-ACM,致心律失常性心肌病治疗方案,PLAN-CARD-8BABC3547777,True,knowledge_explore_only,RecommendationStatement->recommends_action
血脂异常,DIS-CARD-DYSLIPIDEMIA,血脂异常治疗方案,PLAN-CARD-AD3F29BFEB06,True,knowledge_explore_only,RecommendationStatement->recommends_action
透析患者慢性心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭治疗方案,PLAN-CARD-C3F083B7CCAC,True,knowledge_explore_only,RecommendationStatement->recommends_action
遗传性肺动脉高压,DIS-CARD-PH-HPAH,遗传性肺动脉高压治疗方案,PLAN-CARD-F59469DDB81E,True,knowledge_explore_only,RecommendationStatement->recommends_action
长QT间期综合征,DIS-CARD-ARR-LQTS,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
长QT间期综合征,DIS-CARD-ARR-LQTS,抗心律失常药物治疗,PLAN-CARD-E01DCE98BB99,True,knowledge_explore_only,RecommendationStatement->recommends_action
长QT间期综合征,DIS-CARD-ARR-LQTS,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
长QT间期综合征,DIS-CARD-ARR-LQTS,长QT间期综合征治疗方案,PLAN-CARD-5577EA63AC56,True,knowledge_explore_only,RecommendationStatement->recommends_action
阵发性室上性心动过速,DIS-CARD-ARR-PSVT,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
陈旧性心肌梗死,DIS-CARD-CAD-OLD-MI,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
陈旧性心肌梗死,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死治疗方案,PLAN-CARD-9ACFEF0709E2,True,knowledge_explore_only,RecommendationStatement->recommends_action
限制型心肌病,DIS-CARD-CM-RCM,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
限制型心肌病,DIS-CARD-CM-RCM,限制型心肌病治疗方案,PLAN-CARD-8419002B35F1,True,knowledge_explore_only,RecommendationStatement->recommends_action
隐匿性冠心病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病治疗方案,PLAN-CARD-65EBD0DFC019,True,knowledge_explore_only,RecommendationStatement->recommends_action
隐匿性高血压,DIS-CARD-HT-MASKED,生活方式干预,PLAN-CARD-2081B78ED14D,True,knowledge_explore_only,RecommendationStatement->recommends_action
隐匿性高血压,DIS-CARD-HT-MASKED,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
难治性高血压,DIS-CARD-HT-RESISTANT,生活方式干预,PLAN-CARD-2081B78ED14D,True,knowledge_explore_only,RecommendationStatement->recommends_action
难治性高血压,DIS-CARD-HT-RESISTANT,联合降压治疗,PLAN-CARD-0CDCF256C0E6,True,knowledge_explore_only,RecommendationStatement->recommends_action
难治性高血压,DIS-CARD-HT-RESISTANT,降压治疗,PLAN-CARD-BDE62A3BE028,True,knowledge_explore_only,RecommendationStatement->recommends_action
静脉血栓症,DIS-CARD-VTE,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
静脉血栓症,DIS-CARD-VTE,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
静脉血栓症,DIS-CARD-VTE,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
静脉血栓症,DIS-CARD-VTE,溶栓治疗,PLAN-CARD-FULLBOOK-B87D3F557B,True,knowledge_explore_only,RecommendationStatement->recommends_action
静脉血栓症,DIS-CARD-VTE,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
非ST段抬高型心肌梗死,DIS-CARD-CAD-NSTEMI,复律治疗,PLAN-CARD-TEXT-7CC38FBA6F,True,knowledge_explore_only,RecommendationStatement->recommends_action
非ST段抬高型心肌梗死,DIS-CARD-CAD-NSTEMI,抗凝治疗,PLAN-CARD-A1C4E6332D38,True,knowledge_explore_only,RecommendationStatement->recommends_action
非ST段抬高型心肌梗死,DIS-CARD-CAD-NSTEMI,抗血小板治疗,PLAN-CARD-42FD049DCDB5,True,knowledge_explore_only,RecommendationStatement->recommends_action
非ST段抬高型心肌梗死,DIS-CARD-CAD-NSTEMI,氧疗,PLAN-CARD-FULLBOOK-BBA9C43055,True,knowledge_explore_only,RecommendationStatement->recommends_action
非ST段抬高型心肌梗死,DIS-CARD-CAD-NSTEMI,血运重建,PLAN-CARD-TEXT-EEF9C97B59,True,knowledge_explore_only,RecommendationStatement->recommends_action
非ST段抬高型心肌梗死,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死治疗方案,PLAN-CARD-2CEC4722F549,True,knowledge_explore_only,RecommendationStatement->recommends_action
非扩张型左心室心肌病,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病治疗方案,PLAN-CARD-0E0B6D3DD944,True,knowledge_explore_only,RecommendationStatement->recommends_action
非持续性室性心动过速,DIS-CARD-ARR-NSVT,ICD治疗,PLAN-CARD-946BE3CB675F,True,knowledge_explore_only,RecommendationStatement->recommends_action
非持续性室性心动过速,DIS-CARD-ARR-NSVT,电复律除颤,PLAN-CARD-A694F46F1102,True,knowledge_explore_only,RecommendationStatement->recommends_action
非持续性室性心动过速,DIS-CARD-ARR-NSVT,非持续性室性心动过速治疗方案,PLAN-CARD-99A20A48D160,True,knowledge_explore_only,RecommendationStatement->recommends_action
预激综合征,DIS-CARD-ARR-WPW,同步电复律,PLAN-CARD-108E680ADD4F,True,knowledge_explore_only,RecommendationStatement->recommends_action
预激综合征,DIS-CARD-ARR-WPW,导管消融,PLAN-CARD-5C9E41087192,True,knowledge_explore_only,RecommendationStatement->recommends_action
